"code" "intercept" "slope" "nsnps"
"1" "100001_raw" NA NA NA
"2" "100002_raw" NA NA NA
"3" "100003_raw" NA NA NA
"4" "100004_raw" NA NA NA
"5" "100005_raw" -0.781481432952442 -1.63173212428751 267
"6" "100006_raw" NA NA NA
"7" "100007_raw" NA NA NA
"8" "100008_raw" NA NA NA
"9" "100009_raw" NA NA NA
"10" "100010" NA NA NA
"11" "100011_raw" NA NA NA
"12" "100012_raw" NA NA NA
"13" "100013_raw" NA NA NA
"14" "100014_raw" NA NA NA
"15" "100015_raw" NA NA NA
"16" "100016_raw" 25.9117876029455 -3.21932227848011 264
"17" "100017_raw" NA NA NA
"18" "100018_raw" NA NA NA
"19" "100019_raw" NA NA NA
"20" "100021_raw" NA NA NA
"21" "100022" NA NA NA
"22" "100023_raw" NA NA NA
"23" "100024_raw" NA NA NA
"24" "100025_raw" NA NA NA
"25" "1001" NA NA NA
"26" "100150" NA NA NA
"27" "100160" NA NA NA
"28" "100170" NA NA NA
"29" "100190" NA NA NA
"30" "100240" NA NA NA
"31" "100250" NA NA NA
"32" "100260" NA NA NA
"33" "100270" NA NA NA
"34" "100280" NA NA NA
"35" "100360" NA NA NA
"36" "100370" NA NA NA
"37" "100390" NA NA NA
"38" "100400" NA NA NA
"39" "100460" NA NA NA
"40" "100520" -14.2861279025804 -0.818742368908103 416
"41" "100580" NA NA NA
"42" "100590" NA NA NA
"43" "100630" -9.10313095308848 -1.5875769768884 747
"44" "100670" NA NA NA
"45" "100710" NA NA NA
"46" "100720" -12.7597477417138 -1.12369223589958 835
"47" "100730" -14.6112177246317 -0.695115247631089 296
"48" "100760" NA NA NA
"49" "100890" NA NA NA
"50" "100920_0" NA NA NA
"51" "100920_2102" NA NA NA
"52" "100920_2103" NA NA NA
"53" "100920_2104" NA NA NA
"54" "100920_2105" NA NA NA
"55" "100920_2106" -19.2963038063374 -0.139805888682596 1122
"56" "100920_2107" -11.2953795113635 -1.80833540222538 1360
"57" "100920_2108" -11.1569616029788 -1.8390160534272 1325
"58" "100920_2109" -11.8853210970096 -1.65299584299308 1154
"59" "100920_2110" -11.6273736197804 -2.08991966613843 1864
"60" "100920_2199" -10.0519592507834 -2.14777493369068 1074
"61" "100940" NA NA NA
"62" "1011" NA NA NA
"63" "102_raw" -8.1613833716894 -5.00841918646799 23848
"64" "102080" NA NA NA
"65" "1021" NA NA NA
"66" "102130" NA NA NA
"67" "102190" NA NA NA
"68" "102250" NA NA NA
"69" "102280" NA NA NA
"70" "102290" -12.2260912161259 -1.178519066706 657
"71" "102330" -13.488564802004 -0.911009069676237 496
"72" "102360" NA NA NA
"73" "102400" NA NA NA
"74" "102440" NA NA NA
"75" "102460" NA NA NA
"76" "102700" NA NA NA
"77" "102800" NA NA NA
"78" "102820" NA NA NA
"79" "102830" NA NA NA
"80" "102840" -15.9742197507908 -0.599642286229898 717
"81" "102930" NA NA NA
"82" "103000" NA NA NA
"83" "103020" NA NA NA
"84" "103060" NA NA NA
"85" "103070" NA NA NA
"86" "1031" NA NA NA
"87" "103120" NA NA NA
"88" "103130" NA NA NA
"89" "103140" NA NA NA
"90" "103250" NA NA NA
"91" "103990" NA NA NA
"92" "104020" NA NA NA
"93" "104090" NA NA NA
"94" "104170" NA NA NA
"95" "104210" NA NA NA
"96" "104240" NA NA NA
"97" "104290" NA NA NA
"98" "104340" NA NA NA
"99" "104400" NA NA NA
"100" "104450" NA NA NA
"101" "104460" NA NA NA
"102" "104530" NA NA NA
"103" "104670" NA NA NA
"104" "104900" NA NA NA
"105" "104910" NA NA NA
"106" "104920" 4.02917558942168 -2.04310430887692 1180
"107" "1050" -51.1251939645085 -12.0982469067972 2776
"108" "1060" NA NA NA
"109" "1070" -40.2293765622487 -8.65654141155096 4424
"110" "1080" -30.8081570418355 -6.40630466854505 1814
"111" "1090" NA NA NA
"112" "1100" -112.328985709404 -26.0807508174259 4550
"113" "110001" NA NA NA
"114" "1110" -10.7604796158728 -1.55158473723516 1172
"115" "1120" NA NA NA
"116" "1130" NA NA NA
"117" "1140" NA NA NA
"118" "1150_1" NA NA NA
"119" "1150_2" NA NA NA
"120" "1150_3" NA NA NA
"121" "1160" -13.9468727664587 -2.2746478019303 1191
"122" "1170" -13.145715086414 -1.91391295922948 7766
"123" "1180" -21.7786360812616 -4.48834350584865 10370
"124" "1190" -203.262722382467 -50.9363159598201 6850
"125" "1200" NA NA NA
"126" "1210" -25.8525052877855 -4.39288995990528 1191
"127" "1220" -40.3512384189525 -7.61315051203556 1358
"128" "12336_raw" NA NA NA
"129" "12338_raw" NA NA NA
"130" "12340_raw" NA NA NA
"131" "1239" -13.9352257296106 -1.99030298423499 795
"132" "1249" -14.6683842439117 -3.07433758922543 4097
"133" "1259" NA NA NA
"134" "1269" NA NA NA
"135" "1279" NA NA NA
"136" "1289" NA NA NA
"137" "129_raw" 20.376393617365 -3.03462765358923 1361
"138" "1299" NA NA NA
"139" "130_raw" 7.68253247508961 -1.93313379960042 565
"140" "1309" -17.7231387789485 -3.35825812243069 2582
"141" "1319" -50.1794378864145 -11.2953257985613 1448
"142" "1329" -123.326211082724 -31.2614236680488 5309
"143" "1339" NA NA NA
